Datum,Potrosnja
2023-01-01,2500
2023-01-02,0
2023-01-03,2800
2023-01-04,2750
2023-01-05,2900
2023-01-06,2850
2023-01-07,2650
2023-01-08,0
2023-01-09,2700
2023-01-10,2900
2023-01-11,3100
2023-01-12,3200
2023-01-13,3150
2023-01-14,2950
2023-01-15,0
2023-01-16,2800
2023-01-17,3000
2023-01-18,3250
2023-01-19,3300
2023-01-20,3100
2023-01-21,2900
2023-01-22,0
2023-01-23,2750
2023-01-24,3000
2023-01-25,3200
2023-01-26,3350
2023-01-27,3250
2023-01-28,3100
2023-01-29,0
2023-01-30,2900
2023-01-31,3150
2023-02-01,3300
2023-02-02,3400
2023-02-03,3350
2023-02-04,3200
2023-02-05,0
2023-02-06,3000
2023-02-07,3250
2023-02-08,3450
2023-02-09,3500
2023-02-10,3400
2023-02-11,3250
2023-02-12,0
2023-02-13,3100
2023-02-14,3350
2023-02-15,3550
2023-02-16,3600
2023-02-17,3500
2023-02-18,3350
2023-02-19,0
2023-02-20,3200
2023-02-21,3450
2023-02-22,3650
2023-02-23,3700
2023-02-24,3600
2023-02-25,3450
2023-02-26,0
2023-02-27,3300
2023-02-28,3550
2023-03-01,3750
2023-03-02,3800
2023-03-03,3700
2023-03-04,3550
2023-03-05,0
2023-03-06,3400
2023-03-07,3650
2023-03-08,3850
2023-03-09,3900
2023-03-10,3800
2023-03-11,3650
2023-03-12,0
2023-03-13,3500
2023-03-14,3750
2023-03-15,3950
2023-03-16,4000
2023-03-17,3900
2023-03-18,3750
2023-03-19,0
2023-03-20,3600
2023-03-21,3850
2023-03-22,4050
2023-03-23,4100
2023-03-24,4000
2023-03-25,3850
2023-03-26,0
2023-03-27,3700
2023-03-28,3950
2023-03-29,4150
2023-03-30,4200
2023-03-31,4100
