Datum,Potrosnja
2023-01-01,1200
2023-01-02,1150
2023-01-03,1300
2023-01-04,1280
2023-01-05,1100
2023-01-06,980
2023-01-07,850
2023-01-08,1180
2023-01-09,1220
2023-01-10,1350
2023-01-11,1400
2023-01-12,1250
2023-01-13,1050
2023-01-14,900
2023-01-15,1150
2023-01-16,1280
2023-01-17,1380
2023-01-18,1420
2023-01-19,1320
2023-01-20,1100
2023-01-21,950
2023-01-22,1200
2023-01-23,1300
2023-01-24,1450
2023-01-25,1500
2023-01-26,1380
2023-01-27,1200
2023-01-28,1050
2023-01-29,1250
2023-01-30,1350
2023-01-31,1400
2023-02-01,1320
2023-02-02,1180
2023-02-03,1100
2023-02-04,980
2023-02-05,1150
2023-02-06,1280
2023-02-07,1380
2023-02-08,1450
2023-02-09,1380
2023-02-10,1250
2023-02-11,1100
2023-02-12,1200
2023-02-13,1320
2023-02-14,1500
2023-02-15,1550
2023-02-16,1480
2023-02-17,1350
2023-02-18,1200
2023-02-19,1280
2023-02-20,1380
2023-02-21,1420
2023-02-22,1350
2023-02-23,1250
2023-02-24,1150
2023-02-25,1100
2023-02-26,1250
2023-02-27,1350
2023-02-28,1400
2023-03-01,1450
2023-03-02,1380
2023-03-03,1280
2023-03-04,1200
2023-03-05,1350
2023-03-06,1450
2023-03-07,1500
2023-03-08,1480
2023-03-09,1400
2023-03-10,1320
2023-03-11,1250
2023-03-12,1380
2023-03-13,1450
2023-03-14,1520
2023-03-15,1480
2023-03-16,1400
2023-03-17,1350
2023-03-18,1280
2023-03-19,1400
2023-03-20,1480
2023-03-21,1550
2023-03-22,1500
2023-03-23,1420
2023-03-24,1350
2023-03-25,1280
2023-03-26,1400
2023-03-27,1480
2023-03-28,1520
2023-03-29,1450
2023-03-30,1380
2023-03-31,1320
