Datum,Potrosnja
2023-01-01,800
2023-01-02,750
2023-01-03,820
2023-01-04,780
2023-01-05,850
2023-01-06,900
2023-01-07,950
2023-01-08,880
2023-01-09,830
2023-01-10,870
2023-01-11,920
2023-01-12,980
2023-01-13,1020
2023-01-14,1100
2023-01-15,950
2023-01-16,900
2023-01-17,940
2023-01-18,1000
2023-01-19,1080
2023-01-20,1150
2023-01-21,1200
2023-01-22,1050
2023-01-23,980
2023-01-24,1020
2023-01-25,1100
2023-01-26,1180
2023-01-27,1250
2023-01-28,1300
2023-01-29,1150
2023-01-30,1080
2023-01-31,1120
2023-02-01,1200
2023-02-02,1280
2023-02-03,1350
2023-02-04,1400
2023-02-05,1250
2023-02-06,1180
2023-02-07,1220
2023-02-08,1300
2023-02-09,1380
2023-02-10,1450
2023-02-11,1500
2023-02-12,1350
2023-02-13,1280
2023-02-14,1320
2023-02-15,1400
2023-02-16,1480
2023-02-17,1550
2023-02-18,1600
2023-02-19,1450
2023-02-20,1380
2023-02-21,1420
2023-02-22,1500
2023-02-23,1580
2023-02-24,1650
2023-02-25,1700
2023-02-26,1550
2023-02-27,1480
2023-02-28,1520
2023-03-01,1600
2023-03-02,1680
2023-03-03,1750
2023-03-04,1800
2023-03-05,1650
2023-03-06,1580
2023-03-07,1620
2023-03-08,1700
2023-03-09,1780
2023-03-10,1850
2023-03-11,1900
2023-03-12,1750
2023-03-13,1680
2023-03-14,1720
2023-03-15,1800
2023-03-16,1880
2023-03-17,1950
2023-03-18,2000
2023-03-19,1850
2023-03-20,1780
2023-03-21,1820
2023-03-22,1900
2023-03-23,1980
2023-03-24,2050
2023-03-25,2100
2023-03-26,1950
2023-03-27,1880
2023-03-28,1920
2023-03-29,2000
2023-03-30,2080
2023-03-31,2150
