Datum,Potrosnja
2023-01-01,500
2023-01-02,1200
2023-01-03,300
2023-01-04,950
2023-01-05,150
2023-01-06,800
2023-01-07,450
2023-01-08,1100
2023-01-09,250
2023-01-10,750
2023-01-11,600
2023-01-12,1300
2023-01-13,400
2023-01-14,900
2023-01-15,200
2023-01-16,850
2023-01-17,550
2023-01-18,1150
2023-01-19,350
2023-01-20,700
2023-01-21,650
2023-01-22,1250
2023-01-23,450
2023-01-24,1000
2023-01-25,300
2023-01-26,800
2023-01-27,500
2023-01-28,1200
2023-01-29,250
2023-01-30,950
2023-01-31,600
2023-02-01,1350
2023-02-02,400
2023-02-03,850
2023-02-04,550
2023-02-05,1100
2023-02-06,300
2023-02-07,750
2023-02-08,650
2023-02-09,1300
2023-02-10,450
2023-02-11,950
2023-02-12,500
2023-02-13,1200
2023-02-14,350
2023-02-15,800
2023-02-16,600
2023-02-17,1250
2023-02-18,400
2023-02-19,900
2023-02-20,550
2023-02-21,1150
2023-02-22,300
2023-02-23,750
2023-02-24,650
2023-02-25,1300
2023-02-26,450
2023-02-27,1000
2023-02-28,500
2023-03-01,1350
2023-03-02,350
2023-03-03,850
2023-03-04,600
2023-03-05,1200
2023-03-06,400
2023-03-07,950
2023-03-08,550
2023-03-09,1250
2023-03-10,300
2023-03-11,800
2023-03-12,650
2023-03-13,1400
2023-03-14,450
2023-03-15,1050
2023-03-16,500
2023-03-17,1300
2023-03-18,350
2023-03-19,900
2023-03-20,600
2023-03-21,1200
2023-03-22,400
2023-03-23,950
2023-03-24,550
2023-03-25,1350
2023-03-26,300
2023-03-27,850
2023-03-28,650
2023-03-29,1400
2023-03-30,450
2023-03-31,1100
